"","miRNA1","miRNA2","miRNA3","sensitivity_batch1","specificity_batch1","AUC_batch1","sensitivity*specificity_batch1","sensitivity_batch2","specificity_batch2","AUC_batch2","sensitivity*specificity_batch2"
"1","hsa-miR-425-5p","hsa-miR-148b-5p","hsa-miR-191-5p",0.909090909090909,0.666666666666667,0.803030303030303,0.606060606060606,0.259259259259259,0.944444444444444,0.79835390946502,0.244855967078189
"2","hsa-miR-425-5p","hsa-miR-148b-5p","hsa-miR-223-3p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.851851851851852,0.444444444444444,0.761316872427984,0.378600823045267
"3","hsa-miR-425-5p","hsa-miR-148b-5p","hsa-miR-30a-5p",0.636363636363636,0.666666666666667,0.681818181818182,0.424242424242424,0.148148148148148,0.944444444444444,0.783950617283951,0.139917695473251
"4","hsa-miR-425-5p","hsa-miR-148b-5p","hsa-miR-374a-3p",1,0.666666666666667,0.848484848484848,0.666666666666667,0.37037037037037,0.888888888888889,0.765432098765432,0.329218106995885
"5","hsa-miR-425-5p","hsa-miR-148b-5p","hsa-miR-15b-5p",0.818181818181818,0.833333333333333,0.848484848484849,0.681818181818182,0.259259259259259,1,0.777777777777778,0.259259259259259
"6","hsa-miR-425-5p","hsa-miR-148b-5p","hsa-miR-106b-3p",0.909090909090909,0.833333333333333,0.863636363636364,0.757575757575758,0.333333333333333,0.833333333333333,0.6440329218107,0.277777777777778
"7","hsa-miR-425-5p","hsa-miR-148b-5p","hsa-miR-23a-3p",0.727272727272727,1,0.863636363636364,0.727272727272727,0.0740740740740741,0.944444444444444,0.744855967078189,0.0699588477366255
"8","hsa-miR-425-5p","hsa-miR-191-5p","hsa-miR-223-3p",1,0.666666666666667,0.818181818181818,0.666666666666667,0.925925925925926,0.111111111111111,0.773662551440329,0.102880658436214
"9","hsa-miR-425-5p","hsa-miR-191-5p","hsa-miR-30a-5p",0.636363636363636,0.833333333333333,0.772727272727273,0.53030303030303,0.185185185185185,1,0.65843621399177,0.185185185185185
"10","hsa-miR-425-5p","hsa-miR-191-5p","hsa-miR-374a-3p",0.818181818181818,0.833333333333333,0.848484848484849,0.681818181818182,0.185185185185185,0.888888888888889,0.726337448559671,0.164609053497942
"11","hsa-miR-425-5p","hsa-miR-191-5p","hsa-miR-15b-5p",0.818181818181818,0.833333333333333,0.878787878787879,0.681818181818182,0.333333333333333,0.944444444444444,0.730452674897119,0.314814814814815
"12","hsa-miR-425-5p","hsa-miR-191-5p","hsa-miR-106b-3p",0.909090909090909,0.833333333333333,0.878787878787879,0.757575757575758,0.37037037037037,0.888888888888889,0.627572016460905,0.329218106995885
"13","hsa-miR-425-5p","hsa-miR-191-5p","hsa-miR-23a-3p",0.909090909090909,0.666666666666667,0.803030303030303,0.606060606060606,0.37037037037037,0.888888888888889,0.713991769547325,0.329218106995885
"14","hsa-miR-425-5p","hsa-miR-223-3p","hsa-miR-30a-5p",1,0.666666666666667,0.863636363636364,0.666666666666667,0.925925925925926,0.111111111111111,0.779835390946502,0.102880658436214
"15","hsa-miR-425-5p","hsa-miR-223-3p","hsa-miR-374a-3p",1,0.833333333333333,0.893939393939394,0.833333333333333,0.666666666666667,0.833333333333333,0.728395061728395,0.555555555555556
"16","hsa-miR-425-5p","hsa-miR-223-3p","hsa-miR-15b-5p",0.909090909090909,0.833333333333333,0.924242424242424,0.757575757575758,0.666666666666667,0.722222222222222,0.755144032921811,0.481481481481481
"17","hsa-miR-425-5p","hsa-miR-223-3p","hsa-miR-106b-3p",0.818181818181818,1,0.939393939393939,0.818181818181818,0.777777777777778,0.388888888888889,0.621399176954732,0.302469135802469
"18","hsa-miR-425-5p","hsa-miR-223-3p","hsa-miR-23a-3p",1,0.666666666666667,0.848484848484849,0.666666666666667,0.888888888888889,0.111111111111111,0.631687242798354,0.0987654320987654
"19","hsa-miR-425-5p","hsa-miR-30a-5p","hsa-miR-374a-3p",0.818181818181818,0.833333333333333,0.787878787878788,0.681818181818182,0.111111111111111,1,0.703703703703704,0.111111111111111
"20","hsa-miR-425-5p","hsa-miR-30a-5p","hsa-miR-15b-5p",0.818181818181818,0.833333333333333,0.848484848484849,0.681818181818182,0.296296296296296,0.944444444444444,0.726337448559671,0.279835390946502
"21","hsa-miR-425-5p","hsa-miR-30a-5p","hsa-miR-106b-3p",0.909090909090909,0.833333333333333,0.878787878787879,0.757575757575758,0.555555555555556,0.555555555555556,0.506172839506173,0.308641975308642
"22","hsa-miR-425-5p","hsa-miR-30a-5p","hsa-miR-23a-3p",0.818181818181818,0.666666666666667,0.757575757575758,0.545454545454545,0.259259259259259,0.888888888888889,0.613168724279835,0.230452674897119
"23","hsa-miR-425-5p","hsa-miR-374a-3p","hsa-miR-15b-5p",0.727272727272727,1,0.863636363636364,0.727272727272727,0.111111111111111,1,0.796296296296296,0.111111111111111
"24","hsa-miR-425-5p","hsa-miR-374a-3p","hsa-miR-106b-3p",0.818181818181818,1,0.909090909090909,0.818181818181818,0.222222222222222,0.777777777777778,0.611111111111111,0.172839506172839
"25","hsa-miR-425-5p","hsa-miR-374a-3p","hsa-miR-23a-3p",0.818181818181818,1,0.954545454545455,0.818181818181818,0.148148148148148,0.833333333333333,0.567901234567901,0.123456790123457
"26","hsa-miR-425-5p","hsa-miR-15b-5p","hsa-miR-106b-3p",0.909090909090909,0.833333333333333,0.909090909090909,0.757575757575758,0.555555555555556,0.833333333333333,0.724279835390946,0.462962962962963
"27","hsa-miR-425-5p","hsa-miR-15b-5p","hsa-miR-23a-3p",0.818181818181818,0.833333333333333,0.863636363636364,0.681818181818182,0.259259259259259,1,0.738683127572016,0.259259259259259
"28","hsa-miR-425-5p","hsa-miR-106b-3p","hsa-miR-23a-3p",0.727272727272727,1,0.863636363636364,0.727272727272727,0.0740740740740741,0.944444444444444,0.551440329218107,0.0699588477366255
"29","hsa-miR-148b-5p","hsa-miR-191-5p","hsa-miR-223-3p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.814814814814815,0.666666666666667,0.779835390946502,0.54320987654321
"30","hsa-miR-148b-5p","hsa-miR-191-5p","hsa-miR-30a-5p",0.818181818181818,0.833333333333333,0.833333333333333,0.681818181818182,0.222222222222222,0.944444444444444,0.761316872427984,0.209876543209877
"31","hsa-miR-148b-5p","hsa-miR-191-5p","hsa-miR-374a-3p",0.818181818181818,0.833333333333333,0.893939393939394,0.681818181818182,0.111111111111111,0.944444444444444,0.744855967078189,0.104938271604938
"32","hsa-miR-148b-5p","hsa-miR-191-5p","hsa-miR-15b-5p",0.909090909090909,0.833333333333333,0.863636363636364,0.757575757575758,0.444444444444444,0.777777777777778,0.672839506172839,0.345679012345679
"33","hsa-miR-148b-5p","hsa-miR-191-5p","hsa-miR-106b-3p",0.909090909090909,0.833333333333333,0.878787878787879,0.757575757575758,0.37037037037037,0.833333333333333,0.565843621399177,0.308641975308642
"34","hsa-miR-148b-5p","hsa-miR-191-5p","hsa-miR-23a-3p",0.636363636363636,1,0.863636363636364,0.636363636363636,0.0740740740740741,1,0.707818930041152,0.0740740740740741
"35","hsa-miR-148b-5p","hsa-miR-223-3p","hsa-miR-30a-5p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.814814814814815,0.722222222222222,0.783950617283951,0.588477366255144
"36","hsa-miR-148b-5p","hsa-miR-223-3p","hsa-miR-374a-3p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.481481481481481,0.777777777777778,0.766460905349794,0.374485596707819
"37","hsa-miR-148b-5p","hsa-miR-223-3p","hsa-miR-15b-5p",0.909090909090909,1,0.96969696969697,0.909090909090909,0.777777777777778,0.777777777777778,0.787037037037037,0.604938271604938
"38","hsa-miR-148b-5p","hsa-miR-223-3p","hsa-miR-106b-3p",0.909090909090909,0.833333333333333,0.924242424242424,0.757575757575758,0.814814814814815,0.555555555555556,0.771604938271605,0.452674897119342
"39","hsa-miR-148b-5p","hsa-miR-223-3p","hsa-miR-23a-3p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.851851851851852,0.555555555555556,0.757201646090535,0.473251028806584
"40","hsa-miR-148b-5p","hsa-miR-30a-5p","hsa-miR-374a-3p",1,0.666666666666667,0.833333333333333,0.666666666666667,0.37037037037037,0.888888888888889,0.691358024691358,0.329218106995885
"41","hsa-miR-148b-5p","hsa-miR-30a-5p","hsa-miR-15b-5p",0.818181818181818,1,0.848484848484849,0.818181818181818,0.37037037037037,0.833333333333333,0.683127572016461,0.308641975308642
"42","hsa-miR-148b-5p","hsa-miR-30a-5p","hsa-miR-106b-3p",0.818181818181818,0.833333333333333,0.833333333333333,0.681818181818182,0.296296296296296,0.777777777777778,0.567901234567901,0.230452674897119
"43","hsa-miR-148b-5p","hsa-miR-30a-5p","hsa-miR-23a-3p",0.818181818181818,1,0.909090909090909,0.818181818181818,0.185185185185185,0.888888888888889,0.582304526748971,0.164609053497942
"44","hsa-miR-148b-5p","hsa-miR-374a-3p","hsa-miR-15b-5p",0.727272727272727,1,0.878787878787879,0.727272727272727,0.111111111111111,0.944444444444444,0.696502057613169,0.104938271604938
