"","miRNA1","miRNA2","miRNA3","miRNA4","sensitivity_batch1","specificity_batch1","AUC_batch1","sensitivity*specificity_batch1","sensitivity_batch2","specificity_batch2","AUC_batch2","sensitivity*specificity_batch2"
"1","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-let-7a-5p","hsa-miR-15b-5p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.740740740740741,0.722222222222222,0.732510288065844,0.534979423868313
"2","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-let-7a-5p","hsa-miR-374a-3p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.555555555555556,0.777777777777778,0.662551440329218,0.432098765432099
"3","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-let-7a-5p","hsa-let-7f-5p",1,0.666666666666667,0.848484848484849,0.666666666666667,0.62962962962963,0.611111111111111,0.574074074074074,0.38477366255144
"4","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-miR-15b-5p","hsa-miR-374a-3p",1,1,1,1,0.592592592592593,0.777777777777778,0.745884773662551,0.460905349794239
"5","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-miR-15b-5p","hsa-let-7f-5p",1,0.833333333333333,0.924242424242424,0.833333333333333,0.777777777777778,0.5,0.730452674897119,0.388888888888889
"6","hsa-miR-23a-3p","hsa-miR-223-3p","hsa-miR-374a-3p","hsa-let-7f-5p",1,0.833333333333333,0.954545454545455,0.833333333333333,0.148148148148148,0.888888888888889,0.635802469135802,0.131687242798354
"7","hsa-miR-23a-3p","hsa-let-7a-5p","hsa-miR-15b-5p","hsa-miR-374a-3p",0.818181818181818,1,0.909090909090909,0.818181818181818,0.148148148148148,0.944444444444444,0.611111111111111,0.139917695473251
"8","hsa-miR-23a-3p","hsa-let-7a-5p","hsa-miR-15b-5p","hsa-let-7f-5p",0.909090909090909,0.833333333333333,0.878787878787879,0.757575757575758,0.555555555555556,0.722222222222222,0.588477366255144,0.401234567901235
"9","hsa-miR-23a-3p","hsa-let-7a-5p","hsa-miR-374a-3p","hsa-let-7f-5p",0.727272727272727,1,0.909090909090909,0.727272727272727,0.0740740740740741,0.944444444444444,0.549382716049383,0.0699588477366255
"10","hsa-miR-23a-3p","hsa-miR-15b-5p","hsa-miR-374a-3p","hsa-let-7f-5p",0.818181818181818,1,0.939393939393939,0.818181818181818,0.111111111111111,0.888888888888889,0.561728395061728,0.0987654320987654
"11","hsa-miR-223-3p","hsa-let-7a-5p","hsa-miR-15b-5p","hsa-miR-374a-3p",1,1,1,1,0.333333333333333,0.944444444444444,0.683127572016461,0.314814814814815
"12","hsa-miR-223-3p","hsa-let-7a-5p","hsa-miR-15b-5p","hsa-let-7f-5p",1,0.833333333333333,0.954545454545455,0.833333333333333,0.703703703703704,0.666666666666667,0.720164609053498,0.469135802469136
"13","hsa-miR-223-3p","hsa-let-7a-5p","hsa-miR-374a-3p","hsa-let-7f-5p",1,0.833333333333333,0.954545454545455,0.833333333333333,0.259259259259259,0.888888888888889,0.650205761316872,0.230452674897119
"14","hsa-miR-223-3p","hsa-miR-15b-5p","hsa-miR-374a-3p","hsa-let-7f-5p",1,1,1,1,0.111111111111111,0.944444444444444,0.618312757201646,0.104938271604938
"15","hsa-let-7a-5p","hsa-miR-15b-5p","hsa-miR-374a-3p","hsa-let-7f-5p",0.909090909090909,0.833333333333333,0.893939393939394,0.757575757575758,0.148148148148148,1,0.635802469135802,0.148148148148148
